"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"modelo_redes_preferenciales.nlogox"
"main-pattern-negative-fixed-small-world"
"06/22/2026 04:12:22:947 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","total-ticks","learning-rate","pairs-per-tick","confidence-threshold","influence-type","[step]","percentage-A","percentage-B","male-percentage-A","female-percentage-A"
"30","260","0.5","10","0.2","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"27","260","0.2","10","0.2","neg","69","60.280373831775705","39.719626168224295","59.4541910331384","61.04129263913825"
"25","260","0.5","50","0.1","neg","69","52.99065420560748","47.00934579439252","52.63157894736842","53.3213644524237"
"29","260","0.4","10","0.2","neg","69","58.598130841121495","41.401869158878505","57.69980506822612","59.42549371633752"
"30","260","0.5","10","0.2","neg","69","58.13084112149532","41.86915887850468","58.47953216374269","57.809694793536806"
"28","260","0.3","10","0.2","neg","166","56.82242990654206","43.177570093457945","57.30994152046783","56.37342908438061"
"31","260","0.1","20","0.2","neg","69","59.439252336448604","40.560747663551396","58.0896686159844","60.68222621184919"
"26","260","0.1","10","0.2","neg","166","58.87850467289719","41.1214953271028","57.50487329434698","60.14362657091562"
"24","260","0.4","50","0.1","neg","259","51.86915887850467","48.13084112149533","52.046783625730995","51.70556552962297"
"28","260","0.3","10","0.2","neg","259","55.60747663551402","44.39252336448598","55.55555555555556","55.65529622980251"
"31","260","0.1","20","0.2","neg","166","58.22429906542056","41.77570093457944","56.72514619883041","59.60502692998204"
"30","260","0.5","10","0.2","neg","166","56.44859813084112","43.55140186915888","54.97076023391813","57.809694793536806"
"27","260","0.2","10","0.2","neg","166","58.504672897196265","41.495327102803735","57.30994152046783","59.60502692998204"
"32","260","0.2","20","0.2","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"29","260","0.4","10","0.2","neg","166","56.63551401869159","43.36448598130841","55.36062378167641","57.809694793536806"
"31","260","0.1","20","0.2","neg","259","56.82242990654206","43.177570093457945","56.14035087719298","57.450628366247756"
"25","260","0.5","50","0.1","neg","166","52.24299065420561","47.757009345794394","52.826510721247566","51.70556552962297"
"27","260","0.2","10","0.2","neg","259","57.19626168224299","42.80373831775701","56.72514619883041","57.63016157989228"
"26","260","0.1","10","0.2","neg","259","58.41121495327103","41.58878504672897","57.30994152046783","59.42549371633752"
"33","260","0.3","20","0.2","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"30","260","0.5","10","0.2","neg","259","54.953271028037385","45.046728971962615","53.99610136452242","55.83482944344704"
"32","260","0.2","20","0.2","neg","69","59.1588785046729","40.8411214953271","57.1150097465887","61.04129263913825"
"33","260","0.3","20","0.2","neg","69","57.19626168224299","42.80373831775701","55.945419103313846","58.34829443447038"
"35","260","0.5","20","0.2","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"29","260","0.4","10","0.2","neg","259","54.953271028037385","45.046728971962615","53.021442495126706","56.732495511669654"
"34","260","0.4","20","0.2","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"33","260","0.3","20","0.2","neg","166","54.48598130841121","45.51401869158879","53.021442495126706","55.83482944344704"
"34","260","0.4","20","0.2","neg","69","57.570093457943926","42.429906542056074","55.165692007797276","59.78456014362658"
"35","260","0.5","20","0.2","neg","69","57.28971962616822","42.71028037383178","56.33528265107213","58.16876122082585"
"37","260","0.2","30","0.2","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"32","260","0.2","20","0.2","neg","166","57.28971962616822","42.71028037383178","54.77582846003899","59.60502692998204"
"33","260","0.3","20","0.2","neg","259","52.61682242990654","47.38317757009346","50.682261208576996","54.39856373429084"
"32","260","0.2","20","0.2","neg","259","54.299065420560744","45.70093457943925","51.85185185185185","56.552962298025136"
"25","260","0.5","50","0.1","neg","259","51.77570093457944","48.22429906542056","51.85185185185185","51.70556552962297"
"38","260","0.3","30","0.2","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"35","260","0.5","20","0.2","neg","166","52.523364485981304","47.47663551401869","50.487329434697855","54.39856373429084"
"34","260","0.4","20","0.2","neg","166","54.67289719626168","45.32710280373832","52.826510721247566","56.37342908438061"
"35","260","0.5","20","0.2","neg","259","51.214953271028044","48.78504672897196","49.512670565302145","52.782764811490125"
"36","260","0.1","30","0.2","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"39","260","0.4","30","0.2","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"37","260","0.2","30","0.2","neg","69","58.69158878504673","41.308411214953274","56.72514619883041","60.502692998204665"
"38","260","0.3","30","0.2","neg","69","57.28971962616822","42.71028037383178","56.53021442495126","57.989228007181325"
"39","260","0.4","30","0.2","neg","69","55.700934579439256","44.299065420560744","54.77582846003899","56.552962298025136"
"36","260","0.1","30","0.2","neg","69","59.62616822429907","40.373831775700936","57.30994152046783","61.759425493716336"
"34","260","0.4","20","0.2","neg","259","53.17757009345795","46.822429906542055","52.046783625730995","54.219030520646314"
"40","260","0.5","30","0.2","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"39","260","0.4","30","0.2","neg","166","52.336448598130836","47.66355140186916","51.85185185185185","52.782764811490125"
"44","260","0.4","40","0.2","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
