"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"modelo_redes_preferenciales.nlogox"
"main-pattern-positive-fixed-small-world"
"06/22/2026 04:22:26:997 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","total-ticks","learning-rate","pairs-per-tick","confidence-threshold","influence-type","[step]","percentage-A","percentage-B","male-percentage-A","female-percentage-A"
"65","260","0.5","30","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"62","260","0.2","30","0","pos","166","69.4392523364486","30.560747663551403","67.83625730994152","70.91561938958706"
"65","260","0.5","30","0","pos","69","64.95327102803739","35.046728971962615","63.74269005847953","66.06822262118493"
"64","260","0.4","30","0","pos","166","74.11214953271028","25.88785046728972","73.2943469785575","74.86535008976661"
"60","260","0.5","20","0","pos","166","72.61682242990655","27.38317757009346","72.51461988304094","72.71095152603232"
"59","260","0.4","20","0","pos","259","73.73831775700934","26.261682242990652","73.09941520467837","74.32675044883304"
"61","260","0.1","30","0","pos","166","64.67289719626169","35.32710280373832","63.35282651072125","65.8886894075404"
"62","260","0.2","30","0","pos","259","73.08411214953271","26.91588785046729","72.70955165692008","73.4290843806104"
"65","260","0.5","30","0","pos","166","77.57009345794393","22.429906542056074","79.14230019493176","76.12208258527828"
"67","260","0.2","40","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"64","260","0.4","30","0","pos","259","80.09345794392523","19.906542056074766","77.77777777777779","82.2262118491921"
"70","260","0.5","40","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"60","260","0.5","20","0","pos","259","78.13084112149534","21.869158878504674","78.3625730994152","77.91741472172352"
"63","260","0.3","30","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"69","260","0.4","40","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"65","260","0.5","30","0","pos","259","83.17757009345794","16.822429906542055","84.99025341130604","81.50807899461401"
"61","260","0.1","30","0","pos","259","67.66355140186916","32.33644859813084","67.05653021442495","68.2226211849192"
"63","260","0.3","30","0","pos","69","66.16822429906543","33.83177570093458","67.64132553606238","64.81149012567326"
"70","260","0.5","40","0","pos","69","72.24299065420561","27.757009345794394","73.48927875243665","71.0951526032316"
