"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"modelo_redes_preferenciales.nlogox"
"positive-convergence-time"
"06/09/2026 15:51:18:978 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","total-ticks","learning-rate","pairs-per-tick","confidence-threshold","influence-type","[step]","ticks","mean-opinion","sd-opinion"
"131","100000","0.1","50","0","pos","99999","100000","0.1064682145721433","0.02871586403032529"
"132","100000","0.1","50","0","pos","99999","100000","0.10726899775143524","0.03807913150973872"
"134","100000","0.1","50","0","pos","99999","100000","0.10336324784486102","0.03647411161808473"
"133","100000","0.1","50","0","pos","99999","100000","0.11219950520687914","0.05849815161540107"
"135","100000","0.1","50","0","pos","99999","100000","0.11163622151488464","0.023528796310484462"
"136","100000","0.1","50","0","pos","99999","100000","0.10881909509546464","0.05420518238895659"
"137","100000","0.1","50","0","pos","99999","100000","0.09998470013780564","0.020942605087318468"
"138","100000","0.1","50","0","pos","99999","100000","0.11827197673794619","0.02319245498887077"
"139","100000","0.1","50","0","pos","99999","100000","0.11372286345050489","0.033305499771409244"
"142","100000","0.1","50","0","pos","99999","100000","0.11884648960338509","0.029428523372956122"
"143","100000","0.1","50","0","pos","99999","100000","0.1091543511972381","0.03183668334059683"
"144","100000","0.1","50","0","pos","99999","100000","0.11208719773592182","0.013870594808629668"
"140","100000","0.1","50","0","pos","99999","100000","0.11364584998266196","0.03669470793752147"
"145","100000","0.1","50","0","pos","99999","100000","0.10186910011890092","0.037136127900094254"
"141","100000","0.1","50","0","pos","99999","100000","0.11458239535451069","0.04551451715643997"
"146","100000","0.1","50","0","pos","99999","100000","0.0956133862377604","0.026290047804629145"
"147","100000","0.1","50","0","pos","99999","100000","0.11004832391600469","0.028277552149841224"
"151","100000","0.2","10","0","pos","99999","100000","0.10986169758793203","0.05446847473968089"
"150","100000","0.1","50","0","pos","99999","100000","0.11397041008919893","0.02588868607552635"
"153","100000","0.2","10","0","pos","99999","100000","0.10694117996699355","0.04380481493107485"
"149","100000","0.1","50","0","pos","99999","100000","0.08626459683803271","0.03992900601786775"
"148","100000","0.1","50","0","pos","99999","100000","0.0981949070638449","0.028614005634739422"
"155","100000","0.2","10","0","pos","99999","100000","0.1042902068795268","0.0467225836883284"
"152","100000","0.2","10","0","pos","99999","100000","0.11885899460377117","0.05555715070410705"
"154","100000","0.2","10","0","pos","99999","100000","0.09383450875979488","0.054672939314520975"
"156","100000","0.2","10","0","pos","99999","100000","0.09944353024470615","0.038732396759665624"
"157","100000","0.2","10","0","pos","99999","100000","0.10151266875563261","0.05450628968352652"
"158","100000","0.2","10","0","pos","99999","100000","0.10495517971599655","0.04628077516988515"
"159","100000","0.2","10","0","pos","99999","100000","0.09593757929238891","0.04859324488530226"
"160","100000","0.2","10","0","pos","99999","100000","0.11360393912245642","0.04443684076953209"
"162","100000","0.2","10","0","pos","99999","100000","0.10484509776973036","0.05395678521966685"
"161","100000","0.2","10","0","pos","99999","100000","0.10904583670530563","0.0589696715631047"
"163","100000","0.2","10","0","pos","99999","100000","0.11773823771779685","0.050575782725151716"
"164","100000","0.2","10","0","pos","99999","100000","0.1003607985319361","0.05041442206796472"
"165","100000","0.2","10","0","pos","99999","100000","0.1046627432849348","0.045619964555975404"
